Rk,,AvAge,GP,W,L,OL,PTS,PTS%,GF,GA,SOW,SOL,SRS,SOS,TG/G,EVGF,EVGA,PP,PPO,PP%,PPA,PPOA,PK%,SH,SHA,PIM/G,oPIM/G,S,S%,SA,SV%,PDO
1,Tampa Bay Lightning,27.0,60,45,11,4,94,.783,237,160,4,1,1.24,-0.05,6.62,167,128,60,198,30.30,29,192,84.90,6,2,8.7,9.1,1933,12.1,1926,.917,101.7
2,Calgary Flames,27.4,59,36,16,7,79,.669,217,176,0,4,0.68,-0.01,6.66,154,125,47,210,22.38,41,190,78.42,16,5,8.9,10.5,1899,11.4,1726,.900,100.7
3,San Jose Sharks,29.1,60,35,17,8,78,.650,219,190,0,3,0.43,-0.05,6.82,168,151,43,177,24.29,32,176,81.82,8,4,8.4,8.6,2039,10.7,1714,.891,99.1
4,Boston Bruins,28.4,60,35,17,8,78,.650,181,155,1,2,0.39,-0.05,5.60,126,107,52,193,26.94,35,178,80.34,2,11,9.6,9.4,1962,9.2,1838,.917,100.2
5,Winnipeg Jets,26.5,59,36,19,4,76,.644,202,171,2,1,0.45,-0.08,6.32,146,127,45,182,24.73,38,183,79.23,9,5,9.3,8.7,1874,10.7,1974,.914,100.8
6,New York Islanders,28.3,58,35,17,6,76,.655,169,138,3,5,0.52,-0.02,5.29,133,100,28,173,16.18,32,162,80.25,5,1,8.1,8.2,1660,10.0,1772,.925,102.4
7,Toronto Maple Leafs,27.4,58,36,19,3,75,.647,206,164,0,0,0.70,-0.03,6.38,170,132,33,156,21.15,27,148,81.76,3,5,6.0,7.1,1847,11.2,1896,.914,102.5
8,Nashville Predators,28.6,61,34,22,5,73,.598,186,160,1,1,0.41,-0.02,5.67,153,117,26,204,12.75,35,188,81.38,6,7,8.0,10.1,1998,9.3,1812,.912,100.7
9,Washington Capitals,28.5,60,33,20,7,73,.608,202,191,3,1,0.15,-0.04,6.55,158,142,38,176,21.59,44,204,78.43,3,4,9.1,8.8,1791,11.1,1941,.902,101.6
10,Pittsburgh Penguins,28.4,59,31,21,7,69,.585,206,184,1,2,0.38,0.01,6.61,156,140,39,163,23.93,30,163,81.60,9,12,7.9,7.4,1930,10.6,1981,.908,101.2
11,Montreal Canadiens,27.6,59,31,21,7,69,.585,176,174,2,0,0.05,0.02,5.93,146,131,24,186,12.90,39,189,79.37,4,4,8.7,8.4,1959,8.9,1859,.906,100.2
12,Columbus Blue Jackets,26.3,58,33,22,3,69,.595,186,177,0,1,0.13,-0.02,6.26,156,146,26,166,15.66,26,152,82.89,4,4,6.3,6.6,1852,10.0,1735,.899,100.1
13,Carolina Hurricanes,26.6,59,31,22,6,68,.576,173,165,1,2,0.12,-0.02,5.73,133,122,33,193,17.10,35,183,80.87,6,6,7.4,8.4,2078,8.3,1663,.902,99.1
14,Vegas Golden Knights,29.1,61,32,25,4,68,.557,180,172,2,1,0.09,-0.04,5.77,138,139,32,182,17.58,30,178,83.15,8,2,7.0,7.2,2068,8.6,1770,.903,98.8
15,St. Louis Blues,27.9,58,31,22,5,67,.578,174,162,0,1,0.22,0.01,5.79,138,120,32,171,18.71,36,181,80.11,4,5,8.0,8.4,1819,9.6,1674,.904,100.3
16,Buffalo Sabres,26.5,58,28,23,7,63,.543,168,181,4,1,-0.21,0.02,6.02,131,145,31,172,18.02,28,153,81.70,2,7,7.0,7.7,1885,8.7,1872,.904,99.9
17,Philadelphia Flyers,26.5,59,28,24,7,63,.534,176,196,2,1,-0.37,-0.03,6.31,139,145,31,176,17.61,41,178,76.97,4,9,9.1,8.4,1858,9.4,1862,.895,99.8
18,Dallas Stars,28.1,58,29,24,5,63,.543,145,149,0,0,-0.04,0.03,5.07,111,117,30,150,20.00,31,173,82.08,4,1,7.9,7.2,1744,8.3,1788,.917,99.9
19,Minnesota Wild,29.6,59,27,26,6,60,.508,164,176,1,2,-0.25,-0.04,5.76,121,137,37,178,20.79,35,185,81.08,5,2,8.2,8.6,1858,8.8,1722,.899,98.4
20,Vancouver Canucks,26.8,60,26,27,7,59,.492,170,188,3,3,-0.28,0.02,5.97,131,139,30,190,15.79,39,198,80.30,6,7,9.8,9.1,1761,9.5,1865,.901,99.9
21,Chicago Blackhawks,28.3,60,25,26,9,59,.492,200,223,1,1,-0.34,0.04,7.05,154,171,40,182,21.98,47,177,73.45,5,4,7.8,7.2,1911,10.4,2122,.895,99.8
22,Colorado Avalanche,26.8,59,24,24,11,59,.500,189,192,0,1,-0.01,0.04,6.46,134,138,47,213,22.07,48,211,77.25,8,5,9.8,9.7,1924,9.8,1853,.897,99.5
23,New York Rangers,27.6,58,25,25,8,58,.500,170,194,6,2,-0.37,0.04,6.28,124,147,35,162,21.60,43,191,77.49,5,2,9.2,7.7,1674,9.8,1923,.900,99.8
24,Florida Panthers,28.0,57,25,24,8,58,.509,177,197,3,4,-0.27,0.08,6.56,122,154,51,197,25.89,29,160,81.88,1,10,8.3,8.9,1900,9.2,1738,.889,97.8
25,Arizona Coyotes,26.9,59,26,28,5,57,.483,154,172,2,1,-0.28,0.02,5.53,107,140,33,187,17.65,25,171,85.38,12,6,7.4,8.2,1809,8.4,1805,.905,98.2
26,Anaheim Ducks,27.2,59,23,27,9,55,.466,133,187,3,2,-0.88,0.04,5.42,104,139,24,158,15.19,38,193,80.31,2,8,8.6,6.9,1629,8.0,2011,.908,99.5
27,New Jersey Devils,27.5,59,23,28,8,54,.458,173,204,1,3,-0.47,0.06,6.39,128,163,37,190,19.47,30,189,84.13,7,8,8.7,9.2,1854,9.3,1866,.892,99.0
28,Detroit Red Wings,29.5,60,23,29,8,54,.450,168,199,2,5,-0.50,0.02,6.12,135,147,26,161,16.15,42,189,77.78,5,5,8.0,7.3,1790,9.3,1968,.901,100.1
29,Edmonton Oilers,27.0,58,24,29,5,53,.457,163,195,3,0,-0.53,0.03,6.17,116,146,38,172,22.09,44,180,75.56,6,5,9.3,7.8,1696,9.4,1807,.892,99.0
30,Los Angeles Kings,29.3,59,23,30,6,52,.441,143,182,2,2,-0.65,0.01,5.51,113,127,25,164,15.24,43,172,75.00,3,10,7.2,7.4,1695,8.3,1850,.903,99.9
31,Ottawa Senators,27.3,59,22,32,5,49,.415,186,219,0,0,-0.56,0.00,6.86,147,177,36,164,21.95,37,159,76.73,3,5,8.9,8.4,1785,10.4,2149,.898,100.0
,League Average,27.7,59,30,23,6,65,.554,180,180,,,0.00,0.00,6.11,,,36,179,20.00,36,179,80.00,6,6,8.3,8.3,1854,9.7,1854,.904,
